"02912","UNIQUE","PROVIDENCE","RI","PRIMARY",41.82,-71.41,"NA-US-RI-PROVIDENCE","false",471,483,4611222
"10469","STANDARD","BRONX","NY","PRIMARY",40.84,-73.87,"NA-US-NY-BRONX","false",28964,47625,1017556583
"10470","STANDARD","BRONX","NY","PRIMARY",40.84,-73.87,"NA-US-NY-BRONX","false",7000,10880,260963512
"10471","STANDARD","BRONX","NY","PRIMARY",40.84,-73.87,"NA-US-NY-BRONX","false",9876,15606,623827705
"10472","STANDARD","BRONX","NY","PRIMARY",40.84,-73.87,"NA-US-NY-BRONX","false",26025,43761,630416228
"10473","STANDARD","BRONX","NY","PRIMARY",40.84,-73.87,"NA-US-NY-BRONX","false",26122,42812,817850845
"10474","STANDARD","BRONX","NY","PRIMARY",40.84,-73.87,"NA-US-NY-BRONX","false",4369,7377,97578251
"10475","STANDARD","BRONX","NY","PRIMARY",40.84,-73.87,"NA-US-NY-BRONX","false",21124,31659,740068715
"10499","UNIQUE","BRONX","NY","PRIMARY",40.84,-73.87,"NA-US-NY-BRONX","false",,,
"10001","STANDARD","NEW YORK","NY","PRIMARY",40.71,-73.99,"NA-US-NY-NEW YORK","false",12534,16553,1031960117
"10002","STANDARD","NEW YORK","NY","PRIMARY",40.71,-73.99,"NA-US-NY-NEW YORK","false",45236,70604,1394042364
"10003","STANDARD","NEW YORK","NY","PRIMARY",40.71,-73.99,"NA-US-NY-NEW YORK","false",28817,36569,
"10004","STANDARD","NEW YORK","NY","PRIMARY",40.71,-73.99,"NA-US-NY-NEW YORK","false",1967,2909,333623384
"10005","STANDARD","NEW YORK","NY","PRIMARY",40.71,-73.99,"NA-US-NY-NEW YORK","false",4697,6293,791578339
"10006","STANDARD","NEW YORK","NY","PRIMARY",40.71,-73.99,"NA-US-NY-NEW YORK","false",2236,2849,240075649
"10007","STANDARD","NEW YORK","NY","PRIMARY",40.71,-73.99,"NA-US-NY-NEW YORK","false",3551,5396,1143186856
"10008","PO BOX","NEW YORK","NY","PRIMARY",40.71,-73.99,"NA-US-NY-NEW YORK","false",550,732,27103411
"10009","STANDARD","NEW YORK","NY","PRIMARY",40.71,-73.99,"NA-US-NY-NEW YORK","false",31275,42731,1572036810
"10010","STANDARD","NEW YORK","NY","PRIMARY",40.71,-73.99,"NA-US-NY-NEW YORK","false",17401,22785,2084544435
"10011","STANDARD","NEW YORK","NY","PRIMARY",40.71,-73.99,"NA-US-NY-NEW YORK","false",30434,38784,1264531973
"10012","STANDARD","NEW YORK","NY","PRIMARY",40.71,-73.99,"NA-US-NY-NEW YORK","false",13415,17738,1529644615
"10013","STANDARD","NEW YORK","NY","PRIMARY",40.71,-73.99,"NA-US-NY-NEW YORK","false",15981,24199,450956340
"10014","STANDARD","NEW YORK","NY","PRIMARY",40.71,-73.99,"NA-US-NY-NEW YORK","false",19374,24292,
"10016","STANDARD","NEW YORK","NY","PRIMARY",40.71,-73.99,"NA-US-NY-NEW YORK","false",31673,40683,1412438620
"10017","STANDARD","NEW YORK","NY","PRIMARY",40.71,-73.99,"NA-US-NY-NEW YORK","false",15803,19975,1685441363
"10018","STANDARD","NEW YORK","NY","PRIMARY",40.71,-73.99,"NA-US-NY-NEW YORK","false",4416,5928,810026753
"10019","STANDARD","NEW YORK","NY","PRIMARY",40.71,-73.99,"NA-US-NY-NEW YORK","false",24515,31889,
"10020","STANDARD","NEW YORK","NY","PRIMARY",40.71,-73.99,"NA-US-NY-NEW YORK","false",1134,1926,207363546
"10021","STANDARD","NEW YORK","NY","PRIMARY",40.77,-73.95,"NA-US-NY-NEW YORK","false",29820,42627,1022024689
"10022","STANDARD","NEW YORK","NY","PRIMARY",40.71,-73.99,"NA-US-NY-NEW YORK","false",20815,29014,731534552
"10023","STANDARD","NEW YORK","NY","PRIMARY",40.71,-73.99,"NA-US-NY-NEW YORK","false",34334,48044,1270483799
"10024","STANDARD","NEW YORK","NY","PRIMARY",40.71,-73.99,"NA-US-NY-NEW YORK","false",31925,47261,1108944328
"10025","STANDARD","NEW YORK","NY","PRIMARY",40.71,-73.99,"NA-US-NY-NEW YORK","false",47778,70190,1675737238
"10026","STANDARD","NEW YORK","NY","PRIMARY",40.71,-73.99,"NA-US-NY-NEW YORK","false",16054,24221,647150670
"10027","STANDARD","NEW YORK","NY","PRIMARY",40.71,-73.99,"NA-US-NY-NEW YORK","false",25372,37948,918919244
"10028","STANDARD","NEW YORK","NY","PRIMARY",40.71,-73.99,"NA-US-NY-NEW YORK","false",25557,36525,964357485
"10029","STANDARD","NEW YORK","NY","PRIMARY",40.71,-73.99,"NA-US-NY-NEW YORK","false",31490,48403,1050141146
"10030","STANDARD","NEW YORK","NY","PRIMARY",40.71,-73.99,"NA-US-NY-NEW YORK","false",11541,17771,345769267
"10031","STANDARD","NEW YORK","NY","PRIMARY",40.71,-73.99,"NA-US-NY-NEW YORK","false",26900,40901,718068721
"10032","STANDARD","NEW YORK","NY","PRIMARY",40.71,-73.99,"NA-US-NY-NEW YORK","false",29755,45758,754754912
"10033","STANDARD","NEW YORK","NY","PRIMARY",40.71,-73.99,"NA-US-NY-NEW YORK","false",30134,45474,881087274
"10034","STANDARD","NEW YORK","NY","PRIMARY",40.71,-73.99,"NA-US-NY-NEW YORK","false",20855,32614,604187876
"00613","PO BOX","ARECIBO","PR","PRIMARY",18.45,-66.73,"NA-US-PR-ARECIBO","false",,,
"00614","PO BOX","ARECIBO","PR","PRIMARY",18.45,-66.73,"NA-US-PR-ARECIBO","false",,,
"00714","STANDARD","ARROYO","PR","PRIMARY",17.97,-66.06,"NA-US-PR-ARROYO","false",,,
"00616","STANDARD","BAJADERO","PR","PRIMARY",18.40,-66.66,"NA-US-PR-BAJADERO","false",,,
"00617","STANDARD","BARCELONETA","PR","PRIMARY",18.45,-66.53,"NA-US-PR-BARCELONETA","false",,,
"00794","STANDARD","BARRANQUITAS","PR","PRIMARY",18.18,-66.30,"NA-US-PR-BARRANQUITAS","false",,,
"00622","STANDARD","BOQUERON","PR","PRIMARY",17.99,-67.15,"NA-US-PR-BOQUERON","false",,,
"00623","STANDARD","CABO ROJO","PR","PRIMARY",18.08,-67.14,"NA-US-PR-CABO ROJO","false",,,
"00627","STANDARD","CAMUY","PR","PRIMARY",18.48,-66.84,"NA-US-PR-CAMUY","false",,,
"00729","STANDARD","CANOVANAS","PR","PRIMARY",18.37,-65.90,"NA-US-PR-CANOVANAS","false",,,
"00979","STANDARD","CAROLINA","PR","PRIMARY",18.40,-65.98,"NA-US-PR-CAROLINA","false",,,
"00981","PO BOX","CAROLINA","PR","PRIMARY",18.40,-65.98,"NA-US-PR-CAROLINA","false",,,
"00982","STANDARD","CAROLINA","PR","PRIMARY",18.40,-65.98,"NA-US-PR-CAROLINA","false",,,
"00983","STANDARD","CAROLINA","PR","PRIMARY",18.40,-65.98,"NA-US-PR-CAROLINA","false",,,
"00984","PO BOX","CAROLINA","PR","PRIMARY",18.40,-65.98,"NA-US-PR-CAROLINA","false",,,
"00985","STANDARD","CAROLINA","PR","PRIMARY",18.40,-65.98,"NA-US-PR-CAROLINA","false",,,
"00986","PO BOX","CAROLINA","PR","PRIMARY",18.40,-65.98,"NA-US-PR-CAROLINA","false",,,
"00987","STANDARD","CAROLINA","PR","PRIMARY",18.40,-65.98,"NA-US-PR-CAROLINA","false",,,
"00988","PO BOX","CAROLINA","PR","PRIMARY",18.40,-65.98,"NA-US-PR-CAROLINA","false",,,
"00736","STANDARD","CAYEY","PR","PRIMARY",18.11,-66.16,"NA-US-PR-CAYEY","false",,,
"00739","STANDARD","CIDRA","PR","PRIMARY",18.17,-66.15,"NA-US-PR-CIDRA","false",,,
"00769","STANDARD","COAMO","PR","PRIMARY",18.08,-66.36,"NA-US-PR-COAMO","false",,,
